"arrival_date_year","arrival_date_month","hotel","assigned_room_type","total_adr"
2017,"March","City Hotel","C","817.4100000000001"
2017,"March","Resort Hotel","I","791.06"
2017,"June","City Hotel","C","778.7"
2017,"April","Resort Hotel","I","744.5"
2017,"March","City Hotel","K","721.0699999999999"
2017,"April","City Hotel","C","701.4200000000001"
2017,"May","Resort Hotel","I","685"
2017,"January","City Hotel","K","663.05"
2017,"April","Resort Hotel","B","450"
2017,"February","City Hotel","C","315.28000000000003"
2017,"February","Resort Hotel","I","314.71"
2017,"March","Resort Hotel","B","265"
2017,"May","City Hotel","K","135"
2017,"January","Resort Hotel","B","104.8"
2017,"January","Resort Hotel","I","100"
2017,"June","City Hotel","K","90"
2017,"February","Resort Hotel","B","84.5"
2017,"August","City Hotel","P","0"
2017,"April","City Hotel","P","0"
